danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.727,0.68,-4.498,0.0286,0.0101,0.0,0.0821,0.728,132.012,6cmm1LMvZdB5zsCwX5BjqE,212507
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,3E7dfMvvCLUddWissuqMwr,202067
0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338,6OEolOOk9Gh9bqkdpfIOl0,215747
0.672,0.82,-4.456,0.0459,0.0368,0.000188,0.184,0.438,120.005,3NZJlJemX3mzjf56MqC5ML,278573
0.822,0.739,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,1dzQoRqT5ucxXVaAhTcT0J,241933
0.755,0.837,-2.718,0.142,0.0991,0.0,0.289,0.714,120.028,0HPD5WQqrq7wPWR7P7Dw1i,199693
0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,6JV2JOEocMgcZxYSZelKcc,236002
0.688,0.702,-4.792,0.0499,0.0215,0.0,0.128,0.74,94.006,3jomjC6H7YQBRr2CHPtc4y,192191
0.564,0.328,-13.096,0.0292,0.666,0.0,0.0915,0.725,85.881,0YwNdeDFbGP6AGwsQrtzdY,190000
0.688,0.26,-13.686,0.0349,0.984,0.0247,0.112,0.443,102.935,4rJtUMlnhJzlzlnxyoc3tb,237867
0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,199080
0.595,0.653,-4.935,0.0265,0.246,0.0,0.264,0.542,128.93,3oW6SWwGqiZSPTiAp7ZQoH,241533
0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25,77NNZQSqzLNqh2A9JhLRkg,248907
0.469,0.538,-13.559,0.0571,0.305,0.00012,0.37,0.886,196.605,5LxvwujISqiB8vpRYv887S,176333
0.331,0.55,-6.483,0.0272,0.605,3.96e-06,0.192,0.429,177.734,70C4NyhjD5OZUMzvWZ3njJ,339000
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800
0.511,0.596,-6.56,0.224,0.53,0.0,0.0798,0.554,158.063,6fTdcGsjxlAD9PSkoPaLMX,226014
0.84,0.364,-11.874,0.0386,0.193,0.0,0.0836,0.96,95.504,4jgczltjMXJdwORMDU9jDO,243373
0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,0azC730Exh71aQlOt9Zj3y,222160
0.503,0.62,-6.069,0.0296,0.471,0.0,0.159,0.713,116.599,6bJuuCtXYiwOcKT9s8uRh8,160360
0.825,0.285,-17.491,0.0326,0.188,0.00131,0.0539,0.86,126.946,0mG66FLhO0iZ6XCAGdjpax,225627
0.733,0.795,-6.748,0.0609,0.213,0.0001,0.0989,0.299,136.977,4i3MgUew8ynhf49Qwr4IP4,319347
0.621,0.403,-8.211,0.0359,0.581,0.0,0.114,0.634,145.523,2XgGdD5d2MW4RNx8KnIjVh,232133
0.771,0.68,-5.881,0.224,0.277,1.18e-05,0.682,0.808,119.952,4NeOWqHmlrGRuBvsLJC9rL,276160
0.808,0.581,-5.43,0.07,0.0053,1.19e-05,0.0828,0.758,130.012,16QN8cBubEq706vNtPpOME,172427
0.492,0.823,-8.526,0.0297,0.127,0.0,0.0523,0.702,94.342,28efjJXBm1CuCmqle5HK2w,215173
0.839,0.804,-2.513,0.0329,0.0192,0.0,0.331,0.888,122.973,2oENJa1T33GJ0w8dC167G4,239987
0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920
0.489,0.866,-7.433,0.0933,0.753,0.0,0.876,0.416,138.63,2ZNTPtYmAhN9vCwnAgqKn1,268560
0.606,0.497,-6.611,0.0277,0.348,0.0,0.275,0.362,130.739,4aY0tZIaboefmkBEsjAovI,222773
0.72,0.607,-4.168,0.0322,0.0543,0.0,0.113,0.828,121.223,4vVTI94F9uJ8lHNDWKv0i2,201947
0.867,0.857,-5.892,0.0663,0.13,0.00171,0.13,0.402,130.048,3oDFtOhcN08qeDPAK6MEQG,251440
0.578,0.756,-5.82,0.115,0.157,0.000232,0.249,0.663,176.739,5imShWWzwqfAJ9gXFpGAQh,201173
0.5,0.681,-9.556,0.0672,0.114,4.01e-05,0.139,0.745,119.46,6hs3SDnbO3f6VQuPO4KBEb,263333
